,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATE, FY 1939 , FY 1940 , FY 1941 , FY 1942 , FY 1943 , FY 1944 , FY 1945 , FY 1946 , FY 1947 , FY 1948 , FY 1949 , FY 1950 , FY 1951 , FY 1952 , FY 1953 , FY 1954 , FY 1955 , FY 1956 , FY 1957 , FY 1958 , FY 1959 , FY 1960 , FY 1961 , FY 1962 , FY 1963 , FY 1964 , FY 1965 , FY 1966 , FY 1967 , FY 1968 , FY 1969 , FY 1970 , FY 1971 , FY 1972 , FY 1973 , FY 1974 , FY 1975 , FY 1976 , FY 1977 , FY 1978 , FY 1979 , FY 1980 , FY 1981 , FY 1982 , FY 1983 , FY 1984 , FY 1985 , FY 1986 , FY 1987 , FY 1988 , FY 1989 , FY 1990 , FY 1991 , FY 1992 , FY 1993 , FY 1994 ,  FY 1995 , FY 1996 , FY 1997 , FY 1998 , FY 1999 , FY 2000 , FY 2001 , FY 2002 , FY 2003 , FY 2004 , FY 2005 , FY 2006 , FY 2007 , FY 2008 , FY 2009 , FY 2010 , FY 2011 , FY 2012 , FY 2013 , FY 2014 , FY 2015 , FY 2016 , FY 2017 , FY 2018 , FY 2019 , FY 2020 ,TOTAL TO DATE,,,,,,,,,,,,
GEORGIA,"$13,015 ","$20,473 ","$32,645 ","$37,902 ","$17,207 ","$13,187 ","$10,977 ","$10,806 ","$29,850 ","$116,024 ","$167,736 ","$157,435 ","$140,741 ","$246,602 ","$144,926 ","$264,688 ","$226,764 ","$343,477 ","$401,083 ","$269,948 ","$268,941 ","$256,549 ","$242,624 ","$233,767 ","$235,903 ","$291,789 ","$299,066 ","$350,777 ","$446,085 ","$525,879 ","$595,837 ","$617,680 ","$590,111 ","$700,533 ","$815,284 ","$932,099 ","$1,085,177 ","$1,201,987 ","$1,758,496 ","$1,331,147 ","$1,735,268 ","$1,895,482 ","$1,804,102 ","$2,543,993 ","$2,360,158 ","$1,897,037 ","$1,717,332 ","$2,316,208 ","$2,427,229 ","$2,486,299 ","$2,761,933 ","$2,709,788 ","$3,707,766 ","$3,313,933 ","$3,464,858 ","$4,046,126 ","$4,607,346 ","$4,473,261 ","$3,627,789 ","$3,356,902 ","$3,587,495 ","$4,120,378 ","$4,373,894 ","$4,054,000 ","$4,581,108 ","$4,464,492 ","$5,165,236 ","$4,901,246 ","$5,714,593 ","$7,260,181 ","$6,869,640 ","$9,882,680 ","$8,138,912 ","$8,049,760 ","$11,923,238 ","$17,276,833 ","$18,777,937 ","$19,312,410 ","$22,240,949 ","$23,213,465 ","$20,190,369 ","$17,471,530 ","$304,268,373 ",,,,,,,,,,,,
GUAM,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$12,000 ","$12,000 ","$12,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$51,408 ","$62,106 ","$72,032 ","$81,533 ","$87,783 ","$123,167 ","$90,167 ","$118,373 ","$129,520 ","$115,323 ","$166,633 ","$147,067 ","$121,666 ","$108,183 ","$153,901 ","$179,919 ","$183,166 ","$198,333 ","$195,333 ","$262,333 ","$251,000 ","$261,500 ","$303,469 ","$351,665 ","$337,296 ","$276,318 ","$258,014 ","$275,589 ","$321,947 ","$340,307 ","$313,426 ","$355,336 ","$338,410 ","$391,236 ","$387,764 ","$443,828 ","$515,686 ","$560,243 ","$787,446 ","$640,114 ","$618,513 ","$870,669 ","$1,267,963 ","$1,347,460 ","$1,158,529 ","$1,299,808 ","$1,328,563 ","$1,122,415 ","$1,002,785 ","$20,521,245 ",,,,,,,,,,,,
HAWAII,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$5,000 ","$10,000 ","$10,000 ","$10,000 ","$10,000 ","$25,000 ","$25,000 ","$25,000 ","$25,000 ","$25,000 ","$30,000 ","$30,000 ","$84,870 ","$82,000 ","$79,000 ","$73,510 ","$69,850 ","$69,510 ","$78,139 ","$83,525 ","$96,030 ","$117,515 ","$131,600 ","$151,450 ","$158,225 ","$153,850 ","$190,326 ","$224,132 ","$257,755 ","$290,100 ","$322,650 ","$474,500 ","$358,500 ","$466,880 ","$501,440 ","$487,970 ","$669,700 ","$629,400 ","$519,500 ","$466,450 ","$613,007 ","$637,343 ","$634,500 ","$698,000 ","$689,500 ","$950,500 ","$892,500 ","$945,500 ","$1,097,348 ","$1,253,007 ","$1,223,381 ","$973,154 ","$912,282 ","$961,369 ","$1,111,848 ","$1,203,184 ","$1,124,412 ","$1,261,676 ","$1,207,123 ","$1,405,099 ","$1,372,361 ","$1,588,938 ","$1,855,483 ","$2,004,425 ","$2,795,702 ","$2,316,511 ","$2,263,862 ","$3,156,422 ","$4,516,558 ","$4,767,143 ","$4,128,477 ","$4,652,531 ","$4,785,824 ","$4,083,070 ","$3,678,793 ","$75,279,210 ",,,,,,,,,,,,
IDAHO,"$17,841 ","$28,064 ","$48,742 ","$52,386 ","$23,019 ","$18,416 ","$17,212 ","$19,060 ","$48,674 ","$184,351 ","$222,195 ","$205,083 ","$178,218 ","$346,423 ","$203,710 ","$240,362 ","$197,987 ","$288,553 ","$330,805 ","$314,563 ","$314,351 ","$296,603 ","$283,299 ","$260,545 ","$261,529 ","$312,449 ","$330,815 ","$358,467 ","$449,197 ","$506,919 ","$579,373 ","$612,244 ","$604,073 ","$654,307 ","$769,873 ","$905,645 ","$1,034,992 ","$1,129,038 ","$1,522,102 ","$1,139,899 ","$1,494,775 ","$1,623,172 ","$1,525,577 ","$2,172,231 ","$2,000,159 ","$1,627,212 ","$1,458,152 ","$2,028,818 ","$2,021,220 ","$2,060,335 ","$2,233,808 ","$2,136,267 ","$2,861,147 ","$2,781,136 ","$2,853,875 ","$3,341,360 ","$3,963,032 ","$3,744,266 ","$3,087,038 ","$2,892,088 ","$3,125,933 ","$3,646,285 ","$3,846,148 ","$3,541,687 ","$4,040,511 ","$3,843,730 ","$4,472,883 ","$4,487,289 ","$5,118,080 ","$5,916,124 ","$6,485,573 ","$8,999,811 ","$7,218,764 ","$6,944,524 ","$9,861,700 ","$14,630,813 ","$15,584,921 ","$13,299,962 ","$15,029,712 ","$15,474,320 ","$13,238,818 ","$11,763,645 ","$243,788,284 ",,,,,,,,,,,,
ILLINOIS,"$26,140 ","$41,119 ","$67,007 ","$78,082 ","$34,021 ","$26,862 ","$23,673 ","$23,819 ","$62,430 ","$212,641 ","$290,102 ","$270,192 ","$237,398 ","$501,827 ","$289,590 ","$323,304 ","$265,766 ","$400,439 ","$446,688 ","$466,352 ","$456,468 ","$394,057 ","$364,985 ","$346,453 ","$335,384 ","$427,040 ","$415,203 ","$481,463 ","$578,436 ","$627,457 ","$732,246 ","$771,745 ","$660,884 ","$792,863 ","$941,430 ","$1,143,704 ","$1,278,517 ","$1,385,191 ","$1,934,969 ","$1,545,762 ","$1,963,165 ","$1,973,590 ","$1,840,477 ","$2,416,884 ","$2,179,659 ","$1,832,358 ","$1,614,668 ","$2,175,015 ","$2,229,956 ","$2,217,781 ","$2,443,057 ","$2,428,910 ","$3,339,279 ","$3,144,388 ","$3,366,603 ","$3,821,004 ","$4,391,567 ","$4,290,178 ","$3,462,969 ","$3,265,326 ","$3,442,045 ","$3,923,826 ","$4,176,153 ","$3,891,429 ","$4,400,997 ","$4,139,926 ","$4,857,279 ","$5,018,151 ","$5,778,662 ","$6,665,600 ","$7,254,248 ","$9,788,145 ","$8,262,303 ","$7,973,254 ","$11,180,042 ","$16,112,487 ","$16,981,518 ","$14,452,361 ","$16,115,520 ","$16,335,080 ","$13,732,772 ","$12,392,851 ","$270,973,192 ",,,,,,,,,,,,
INDIANA,"$33,210 ","$52,240 ","$73,831 ","$75,403 ","$34,603 ","$26,946 ","$23,653 ","$25,210 ","$68,538 ","$208,422 ","$228,993 ","$225,480 ","$187,187 ","$369,833 ","$230,963 ","$236,300 ","$203,557 ","$304,476 ","$355,644 ","$499,620 ","$467,647 ","$417,763 ","$358,380 ","$356,758 ","$333,495 ","$459,267 ","$423,877 ","$494,326 ","$582,392 ","$577,977 ","$596,979 ","$617,358 ","$607,150 ","$723,759 ","$845,670 ","$979,958 ","$1,072,102 ","$1,186,876 ","$1,719,192 ","$1,275,164 ","$1,636,016 ","$1,720,594 ","$1,614,636 ","$2,091,284 ","$1,908,884 ","$1,611,952 ","$1,428,744 ","$1,849,715 ","$1,895,937 ","$1,832,425 ","$2,045,976 ","$2,035,178 ","$2,830,564 ","$2,711,845 ","$2,891,556 ","$3,420,802 ","$3,890,622 ","$3,825,806 ","$3,076,573 ","$2,741,610 ","$2,860,460 ","$3,381,836 ","$3,605,023 ","$3,359,147 ","$3,757,147 ","$3,552,883 ","$3,890,090 ","$3,946,507 ","$4,739,124 ","$5,378,285 ","$5,836,724 ","$8,061,819 ","$6,716,916 ","$6,593,960 ","$9,223,682 ","$13,185,554 ","$13,982,134 ","$11,993,245 ","$13,302,902 ","$13,573,699 ","$11,384,459 ","$10,259,479 ","$227,205,993 ",,,,,,,,,,,,
IOWA,"$16,859 ","$26,520 ","$48,117 ","$54,319 ","$24,998 ","$20,906 ","$18,505 ","$19,219 ","$52,180 ","$201,526 ","$231,119 ","$207,716 ","$197,389 ","$389,799 ","$223,522 ","$257,742 ","$207,885 ","$311,581 ","$351,096 ","$375,136 ","$363,289 ","$310,713 ","$297,576 ","$269,761 ","$265,943 ","$329,492 ","$312,600 ","$371,112 ","$447,809 ","$476,777 ","$563,366 ","$588,253 ","$580,170 ","$648,958 ","$784,604 ","$944,523 ","$1,000,457 ","$1,097,663 ","$1,629,501 ","$1,207,043 ","$1,611,049 ","$1,686,970 ","$1,556,811 ","$2,039,244 ","$1,881,711 ","$1,551,912 ","$1,345,922 ","$1,816,891 ","$1,776,721 ","$1,786,698 ","$1,960,474 ","$1,980,262 ","$2,604,693 ","$2,540,709 ","$2,628,161 ","$3,080,183 ","$3,444,394 ","$3,246,869 ","$2,800,388 ","$2,643,456 ","$2,860,708 ","$3,359,777 ","$3,442,710 ","$3,156,428 ","$3,581,704 ","$3,330,454 ","$4,037,099 ","$4,120,414 ","$4,626,794 ","$5,447,573 ","$5,951,501 ","$7,592,773 ","$6,424,735 ","$5,737,185 ","$7,772,276 ","$11,369,276 ","$11,945,027 ","$10,069,154 ","$11,333,962 ","$11,515,178 ","$9,811,372 ","$8,678,088 ","$205,873,450 ",,,,,,,,,,,,
KANSAS,"$16,910 ","$26,599 ","$42,745 ","$48,668 ","$21,426 ","$17,910 ","$15,852 ","$16,905 ","$44,756 ","$169,585 ","$224,471 ","$214,439 ","$183,773 ","$363,687 ","$216,372 ","$254,161 ","$212,105 ","$283,923 ","$326,023 ","$340,231 ","$314,370 ","$300,297 ","$298,320 ","$285,640 ","$281,325 ","$330,860 ","$335,287 ","$375,405 ","$454,157 ","$510,127 ","$599,508 ","$635,425 ","$610,389 ","$674,317 ","$799,347 ","$936,469 ","$1,050,075 ","$1,129,318 ","$1,612,967 ","$1,187,070 ","$1,553,901 ","$1,693,296 ","$1,585,206 ","$2,261,879 ","$2,016,800 ","$1,671,686 ","$1,520,598 ","$2,092,504 ","$1,956,469 ","$2,017,286 ","$2,193,761 ","$2,154,519 ","$2,652,189 ","$2,558,722 ","$2,674,668 ","$3,044,380 ","$3,542,579 ","$3,443,866 ","$2,852,596 ","$2,624,336 ","$2,859,097 ","$3,476,842 ","$3,593,167 ","$3,313,795 ","$3,788,859 ","$3,492,399 ","$4,130,946 ","$4,134,808 ","$4,666,131 ","$5,479,215 ","$5,996,454 ","$8,371,512 ","$6,707,694 ","$6,711,357 ","$9,465,803 ","$14,324,879 ","$15,059,994 ","$12,833,780 ","$14,334,290 ","$14,646,057 ","$12,381,483 ","$11,040,454 ","$232,681,471 ",,,,,,,,,,,,
KENTUCKY,"$12,156 ","$19,122 ","$31,942 ","$33,031 ","$16,229 ","$11,310 ","$9,235 ","$9,992 ","$25,666 ","$99,038 ","$152,603 ","$147,327 ","$131,068 ","$272,188 ","$157,740 ","$187,680 ","$148,607 ","$223,375 ","$252,880 ","$269,269 ","$261,041 ","$249,519 ","$219,419 ","$207,909 ","$201,952 ","$243,061 ","$236,118 ","$268,815 ","$331,790 ","$381,726 ","$447,224 ","$454,783 ","$440,409 ","$524,004 ","$622,400 ","$728,437 ","$826,278 ","$913,323 ","$1,353,467 ","$1,038,620 ","$1,369,846 ","$1,476,369 ","$1,395,091 ","$1,916,285 ","$1,764,271 ","$1,463,691 ","$1,322,773 ","$1,765,986 ","$1,809,161 ","$1,836,405 ","$2,048,382 ","$2,011,116 ","$2,709,324 ","$2,589,506 ","$2,683,385 ","$3,080,648 ","$3,542,526 ","$3,364,656 ","$2,720,142 ","$2,520,998 ","$2,644,608 ","$3,117,435 ","$3,273,091 ","$3,381,505 ","$3,808,948 ","$3,734,407 ","$4,312,192 ","$4,188,001 ","$4,822,645 ","$5,633,083 ","$6,156,037 ","$8,449,172 ","$6,727,553 ","$6,582,966 ","$9,272,228 ","$13,387,289 ","$14,369,716 ","$12,432,857 ","$13,914,162 ","$14,127,290 ","$11,874,003 ","$10,566,545 ","$222,327,046 ",,,,,,,,,,,,
LOUISIANA,"$11,905 ","$18,728 ","$32,688 ","$36,502 ","$17,462 ","$15,163 ","$13,012 ","$12,946 ","$35,275 ","$133,932 ","$161,963 ","$155,851 ","$144,311 ","$297,089 ","$173,149 ","$196,126 ","$151,434 ","$242,062 ","$268,480 ","$278,979 ","$287,878 ","$261,916 ","$240,189 ","$232,862 ","$222,672 ","$274,207 ","$274,598 ","$318,658 ","$397,015 ","$442,651 ","$522,691 ","$559,768 ","$542,376 ","$648,367 ","$765,593 ","$887,715 ","$990,228 ","$1,084,564 ","$1,536,406 ","$1,164,273 ","$1,570,589 ","$1,688,271 ","$1,615,753 ","$2,316,438 ","$2,155,101 ","$1,786,844 ","$1,637,712 ","$2,153,264 ","$2,215,889 ","$2,171,840 ","$2,238,910 ","$2,161,979 ","$2,823,555 ","$2,612,553 ","$2,780,156 ","$3,197,548 ","$3,688,299 ","$3,561,515 ","$2,871,539 ","$2,627,479 ","$2,792,816 ","$3,269,918 ","$3,568,107 ","$3,364,827 ","$3,707,453 ","$3,516,769 ","$4,108,925 ","$4,136,453 ","$4,737,914 ","$5,423,425 ","$6,122,044 ","$8,750,809 ","$7,114,205 ","$6,884,437 ","$10,045,715 ","$14,837,218 ","$15,878,957 ","$13,708,874 ","$15,525,062 ","$15,884,383 ","$13,432,035 ","$12,135,141 ","$240,872,405 ",,,,,,,,,,,,
MAINE,"$11,031 ","$17,352 ","$27,262 ","$30,371 ","$13,238 ","$10,656 ","$9,710 ","$11,443 ","$28,365 ","$94,909 ","$118,312 ","$100,170 ","$93,633 ","$197,952 ","$119,171 ","$137,062 ","$114,473 ","$165,125 ","$189,789 ","$193,345 ","$184,600 ","$170,569 ","$159,170 ","$154,103 ","$155,254 ","$189,676 ","$186,486 ","$216,387 ","$268,002 ","$299,756 ","$353,189 ","$369,111 ","$357,209 ","$387,570 ","$471,959 ","$526,530 ","$588,657 ","$643,393 ","$944,455 ","$722,472 ","$923,907 ","$1,026,074 ","$962,542 ","$1,383,103 ","$1,212,357 ","$1,014,236 ","$931,651 ","$1,228,979 ","$1,214,636 ","$1,235,986 ","$1,325,326 ","$1,308,008 ","$1,807,347 ","$1,712,412 ","$1,759,628 ","$2,045,713 ","$2,405,563 ","$2,280,388 ","$1,870,172 ","$1,708,406 ","$1,814,209 ","$2,147,882 ","$2,350,572 ","$2,184,511 ","$2,432,581 ","$2,219,066 ","$2,675,874 ","$2,712,712 ","$3,016,568 ","$3,465,067 ","$3,789,719 ","$5,407,831 ","$4,229,351 ","$4,063,348 ","$5,761,219 ","$8,163,062 ","$8,407,092 ","$7,162,578 ","$7,964,547 ","$8,055,283 ","$6,801,597 ","$6,021,040 ","$139,234,060 ",,,,,,,,,,,,
MARYLAND,"$5,921 ","$9,314 ","$15,857 ","$17,372 ","$7,183 ","$5,914 ","$5,505 ","$5,667 ","$15,403 ","$55,088 ","$71,642 ","$64,945 ","$53,702 ","$110,135 ","$63,769 ","$73,968 ","$64,166 ","$97,975 ","$108,448 ","$115,996 ","$112,773 ","$105,732 ","$100,633 ","$92,876 ","$93,030 ","$122,600 ","$114,497 ","$135,891 ","$168,638 ","$195,846 ","$230,063 ","$242,818 ","$224,703 ","$329,326 ","$381,069 ","$445,373 ","$486,674 ","$537,820 ","$819,836 ","$620,111 ","$826,926 ","$848,352 ","$847,387 ","$1,102,290 ","$1,061,777 ","$881,317 ","$806,116 ","$1,013,803 ","$1,100,759 ","$1,084,096 ","$1,217,198 ","$1,206,508 ","$1,734,583 ","$1,539,513 ","$1,695,469 ","$1,969,138 ","$2,211,356 ","$2,179,713 ","$1,672,239 ","$1,539,516 ","$1,581,934 ","$1,812,194 ","$1,972,019 ","$1,871,410 ","$2,066,965 ","$1,987,636 ","$2,313,018 ","$2,157,115 ","$2,581,731 ","$3,012,596 ","$3,284,345 ","$4,611,796 ","$3,798,780 ","$3,748,789 ","$5,207,434 ","$7,200,829 ","$7,674,842 ","$6,742,718 ","$7,545,171 ","$7,754,551 ","$6,592,492 ","$6,038,257 ","$124,622,957 ",,,,,,,,,,,,
MASSACHUSETTS,"$5,834 ","$9,177 ","$12,988 ","$16,501 ","$7,153 ","$6,144 ","$5,279 ","$6,064 ","$14,810 ","$59,574 ","$75,220 ","$64,557 ","$69,227 ","$105,739 ","$64,356 ","$65,027 ","$53,822 ","$81,319 ","$90,494 ","$92,026 ","$89,309 ","$82,930 ","$77,285 ","$72,795 ","$69,830 ","$91,444 ","$86,311 ","$103,589 ","$120,608 ","$149,591 ","$152,741 ","$178,308 ","$173,483 ","$262,528 ","$299,762 ","$341,075 ","$381,100 ","$441,250 ","$684,500 ","$534,500 ","$690,400 ","$727,200 ","$771,970 ","$1,009,300 ","$1,005,800 ","$828,500 ","$750,250 ","$915,611 ","$1,026,139 ","$974,500 ","$1,110,000 ","$1,111,341 ","$1,604,500 ","$1,450,500 ","$1,589,500 ","$1,845,116 ","$2,045,033 ","$2,069,356 ","$1,549,966 ","$1,465,244 ","$1,499,777 ","$1,695,875 ","$1,932,233 ","$1,845,915 ","$2,044,342 ","$1,974,680 ","$2,330,650 ","$2,208,601 ","$2,611,045 ","$3,089,160 ","$3,299,200 ","$4,529,149 ","$3,901,164 ","$3,833,227 ","$5,265,754 ","$7,258,798 ","$7,666,174 ","$6,740,034 ","$7,664,947 ","$7,986,372 ","$6,775,277 ","$6,203,940 ","$122,194,790 ",,,,,,,,,,,,
MICHIGAN,"$50,683 ","$79,726 ","$127,323 ","$143,947 ","$62,630 ","$54,146 ","$47,453 ","$51,202 ","$129,892 ","$413,189 ","$539,031 ","$441,776 ","$406,216 ","$859,552 ","$501,255 ","$558,090 ","$489,840 ","$714,000 ","$811,800 ","$848,700 ","$820,000 ","$487,519 ","$459,459 ","$753,040 ","$525,428 ","$638,340 ","$629,956 ","$709,035 ","$898,779 ","$1,033,071 ","$1,158,193 ","$1,188,370 ","$1,152,210 ","$1,272,303 ","$1,480,481 ","$1,559,471 ","$1,697,935 ","$1,972,966 ","$2,978,329 ","$2,225,524 ","$2,874,940 ","$3,180,100 ","$2,939,478 ","$4,186,124 ","$4,193,899 ","$3,491,327 ","$2,683,750 ","$3,777,606 ","$3,784,503 ","$3,964,293 ","$4,280,429 ","$4,158,064 ","$5,660,246 ","$6,228,209 ","$6,488,436 ","$7,560,552 ","$8,729,321 ","$8,333,877 ","$6,119,198 ","$5,823,180 ","$6,238,726 ","$7,349,739 ","$7,449,040 ","$6,765,477 ","$7,681,412 ","$7,181,520 ","$8,459,634 ","$8,158,817 ","$9,025,689 ","$10,649,276 ","$11,567,638 ","$18,241,472 ","$12,836,894 ","$12,303,439 ","$17,241,283 ","$25,028,297 ","$26,568,621 ","$22,443,457 ","$24,198,482 ","$24,296,525 ","$20,242,515 ","$17,997,307 ","$441,353,652 ",,,,,,,,,,,,
MINNESOTA,"$26,352 ","$41,453 ","$74,270 ","$76,662 ","$41,265 ","$28,500 ","$29,735 ","$31,557 ","$76,608 ","$262,710 ","$369,931 ","$286,791 ","$289,674 ","$563,650 ","$269,458 ","$384,389 ","$320,084 ","$442,749 ","$507,336 ","$540,636 ","$528,594 ","$368,368 ","$386,266 ","$485,917 ","$402,218 ","$444,846 ","$460,423 ","$548,032 ","$639,484 ","$688,030 ","$853,498 ","$893,551 ","$843,165 ","$843,473 ","$1,010,462 ","$1,120,870 ","$1,394,711 ","$1,496,688 ","$2,205,486 ","$1,651,702 ","$2,001,493 ","$2,413,884 ","$2,512,161 ","$3,185,351 ","$2,951,643 ","$2,472,248 ","$2,230,012 ","$2,866,365 ","$2,854,776 ","$3,059,297 ","$3,327,517 ","$3,298,398 ","$4,558,680 ","$4,338,364 ","$4,443,976 ","$5,241,024 ","$6,224,719 ","$5,990,608 ","$5,008,769 ","$4,600,979 ","$4,880,264 ","$5,633,453 ","$6,097,120 ","$5,742,969 ","$6,431,784 ","$6,203,606 ","$7,168,249 ","$7,032,747 ","$8,107,927 ","$9,435,902 ","$10,331,676 ","$14,568,141 ","$11,589,156 ","$11,151,096 ","$15,965,392 ","$23,340,709 ","$24,907,623 ","$20,719,919 ","$22,971,924 ","$23,400,370 ","$19,741,200 ","$17,592,212 ","$378,523,297 ",,,,,,,,,,,,
MISSISSIPPI,"$13,775 ","$21,668 ","$36,512 ","$39,711 ","$16,657 ","$14,610 ","$12,886 ","$10,473 ","$31,046 ","$119,691 ","$166,284 ","$161,952 ","$132,766 ","$263,926 ","$153,872 ","$170,614 ","$138,299 ","$205,820 ","$239,533 ","$238,133 ","$239,444 ","$221,897 ","$204,838 ","$194,243 ","$197,654 ","$239,424 ","$265,345 ","$301,055 ","$376,582 ","$438,074 ","$453,733 ","$480,616 ","$489,991 ","$552,887 ","$661,226 ","$793,622 ","$917,244 ","$971,571 ","$1,412,333 ","$1,058,334 ","$1,405,414 ","$1,459,387 ","$1,309,430 ","$1,849,872 ","$1,689,569 ","$1,383,739 ","$1,275,382 ","$1,727,088 ","$1,748,195 ","$1,778,823 ","$1,931,879 ","$1,910,686 ","$2,560,924 ","$2,418,637 ","$2,521,497 ","$2,952,141 ","$3,260,079 ","$3,082,299 ","$2,508,313 ","$2,327,397 ","$2,504,339 ","$2,953,368 ","$3,080,128 ","$2,881,368 ","$3,249,737 ","$3,106,745 ","$3,559,917 ","$3,503,402 ","$4,007,402 ","$4,559,596 ","$5,017,646 ","$6,713,524 ","$5,651,222 ","$5,069,672 ","$7,142,476 ","$10,471,290 ","$11,014,940 ","$10,729,644 ","$11,956,397 ","$12,144,757 ","$10,102,194 ","$9,092,443 ","$192,271,299 ",,,,,,,,,,,,
MISSOURI,"$20,248 ","$31,852 ","$55,692 ","$61,905 ","$27,883 ","$22,032 ","$19,725 ","$21,812 ","$57,591 ","$225,990 ","$271,750 ","$244,432 ","$211,781 ","$425,157 ","$251,208 ","$286,141 ","$228,631 ","$309,712 ","$369,989 ","$404,952 ","$395,325 ","$351,714 ","$325,758 ","$321,124 ","$291,985 ","$376,869 ","$372,927 ","$445,343 ","$558,825 ","$595,645 ","$745,349 ","$774,918 ","$767,221 ","$870,226 ","$1,073,442 ","$1,201,966 ","$1,388,794 ","$1,479,807 ","$2,102,846 ","$1,594,328 ","$2,114,883 ","$2,247,160 ","$2,094,021 ","$2,973,547 ","$2,711,687 ","$2,237,129 ","$2,036,205 ","$2,778,337 ","$2,819,655 ","$2,954,046 ","$3,173,482 ","$3,248,610 ","$4,424,930 ","$4,242,074 ","$4,394,065 ","$5,089,798 ","$5,431,823 ","$5,200,221 ","$4,282,035 ","$4,037,720 ","$4,583,022 ","$5,277,938 ","$5,492,864 ","$5,096,878 ","$5,771,360 ","$5,819,002 ","$6,739,125 ","$6,123,566 ","$7,165,036 ","$8,371,387 ","$9,118,001 ","$12,638,160 ","$10,257,398 ","$9,965,193 ","$14,113,497 ","$20,541,981 ","$21,843,658 ","$18,598,232 ","$20,756,674 ","$21,117,103 ","$17,819,728 ","$15,970,622 ","$341,254,748 ",,,,,,,,,,,,
MONTANA,"$26,672 ","$41,957 ","$69,185 ","$77,247 ","$34,269 ","$27,474 ","$24,837 ","$27,496 ","$68,754 ","$258,832 ","$327,085 ","$305,883 ","$272,679 ","$521,652 ","$341,137 ","$369,155 ","$299,657 ","$439,974 ","$494,980 ","$524,844 ","$505,016 ","$474,040 ","$434,487 ","$419,996 ","$415,852 ","$489,907 ","$508,495 ","$587,268 ","$687,013 ","$750,265 ","$863,789 ","$896,041 ","$875,506 ","$915,418 ","$1,105,388 ","$1,309,147 ","$1,489,425 ","$1,621,444 ","$2,280,232 ","$1,689,771 ","$2,179,735 ","$2,382,967 ","$2,163,588 ","$3,114,522 ","$2,777,313 ","$2,304,286 ","$2,078,579 ","$2,960,715 ","$2,917,110 ","$3,021,877 ","$3,259,212 ","$3,199,136 ","$4,169,303 ","$4,051,250 ","$4,181,526 ","$4,862,867 ","$5,744,244 ","$5,457,928 ","$4,702,916 ","$4,389,860 ","$4,734,778 ","$5,549,783 ","$5,655,957 ","$5,168,420 ","$5,958,327 ","$5,372,411 ","$6,266,710 ","$6,280,373 ","$7,080,712 ","$8,241,494 ","$9,027,840 ","$12,526,097 ","$10,162,996 ","$9,748,753 ","$13,805,529 ","$20,199,038 ","$21,552,756 ","$18,441,964 ","$20,611,646 ","$21,131,270 ","$17,468,080 ","$15,485,949 ","$343,262,086 ",,,,,,,,,,,,
N. MARIANA ISLANDS,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$166,633 ","$147,067 ","$121,666 ","$108,183 ","$153,901 ","$179,919 ","$183,166 ","$198,333 ","$195,333 ","$262,333 ","$251,000 ","$261,500 ","$303,469 ","$351,665 ","$337,296 ","$276,318 ","$258,014 ","$275,589 ","$321,947 ","$340,307 ","$313,426 ","$355,336 ","$338,410 ","$391,236 ","$387,764 ","$443,828 ","$515,686 ","$560,243 ","$787,446 ","$640,114 ","$618,513 ","$870,669 ","$1,267,963 ","$1,347,460 ","$1,158,529 ","$1,299,808 ","$1,328,563 ","$1,122,415 ","$1,002,785 ","$19,443,833 ",,,,,,,,,,,,
