"fips","state","abb","year","key","value"
"40","Oklahoma","OK","1970","certified_paid_hunting_license_holders",232478
"41","Oregon","OR","1970","certified_paid_hunting_license_holders",630585
"42","Pennsylvania","PA","1970","certified_paid_hunting_license_holders",1134316
"44","Rhode Island","RI","1970","certified_paid_hunting_license_holders",19604
"45","South Carolina","SC","1970","certified_paid_hunting_license_holders",183529
"46","South Dakota","SD","1970","certified_paid_hunting_license_holders",143273
"47","Tennessee","TN","1970","certified_paid_hunting_license_holders",423187
"48","Texas","TX","1970","certified_paid_hunting_license_holders",760351
"49","Utah","UT","1970","certified_paid_hunting_license_holders",201870
"50","Vermont","VT","1970","certified_paid_hunting_license_holders",138378
"51","Virginia","VA","1970","certified_paid_hunting_license_holders",410206
"53","Washington","WA","1970","certified_paid_hunting_license_holders",336652
"54","West Virginia","WV","1970","certified_paid_hunting_license_holders",247531
"55","Wisconsin","WI","1970","certified_paid_hunting_license_holders",629445
"56","Wyoming","WY","1970","certified_paid_hunting_license_holders",162659
"01","Alabama","AL","1970","resident_hunting_licenses_tags_permits_stamps",345549
"02","Alaska","AK","1970","resident_hunting_licenses_tags_permits_stamps",55455
"04","Arizona","AZ","1970","resident_hunting_licenses_tags_permits_stamps",324904
"05","Arkansas","AR","1970","resident_hunting_licenses_tags_permits_stamps",268251
"06","California","CA","1970","resident_hunting_licenses_tags_permits_stamps",1474986
"08","Colorado","CO","1970","resident_hunting_licenses_tags_permits_stamps",339041
"09","Connecticut","CT","1970","resident_hunting_licenses_tags_permits_stamps",76614
"10","Delaware","DE","1970","resident_hunting_licenses_tags_permits_stamps",25116
"12","Florida","FL","1970","resident_hunting_licenses_tags_permits_stamps",242801
"13","Georgia","GA","1970","resident_hunting_licenses_tags_permits_stamps",354566
"15","Hawaii","HI","1970","resident_hunting_licenses_tags_permits_stamps",9063
"16","Idaho","ID","1970","resident_hunting_licenses_tags_permits_stamps",424473
"17","Illinois","IL","1970","resident_hunting_licenses_tags_permits_stamps",428198
"18","Indiana","IN","1970","resident_hunting_licenses_tags_permits_stamps",521878
"19","Iowa","IA","1970","resident_hunting_licenses_tags_permits_stamps",349738
"20","Kansas","KS","1970","resident_hunting_licenses_tags_permits_stamps",205486
"21","Kentucky","KY","1970","resident_hunting_licenses_tags_permits_stamps",254895
"22","Louisiana","LA","1970","resident_hunting_licenses_tags_permits_stamps",450372
"23","Maine","ME","1970","resident_hunting_licenses_tags_permits_stamps",162395
"24","Maryland","MD","1970","resident_hunting_licenses_tags_permits_stamps",256610
"25","Massachusetts","MA","1970","resident_hunting_licenses_tags_permits_stamps",140686
"26","Michigan","MI","1970","resident_hunting_licenses_tags_permits_stamps",1306772
"27","Minnesota","MN","1970","resident_hunting_licenses_tags_permits_stamps",510120
"28","Mississippi","MS","1970","resident_hunting_licenses_tags_permits_stamps",387416
"29","Missouri","MO","1970","resident_hunting_licenses_tags_permits_stamps",585126
"30","Montana","MT","1970","resident_hunting_licenses_tags_permits_stamps",532267
"31","Nebraska","NE","1970","resident_hunting_licenses_tags_permits_stamps",318993
"32","Nevada","NV","1970","resident_hunting_licenses_tags_permits_stamps",99811
"33","New Hampshire","NH","1970","resident_hunting_licenses_tags_permits_stamps",74336
